_date,total_clones,unique_clones
2022-02-15,1,1
2022-02-20,1,1
2022-02-26,7,4
2022-02-27,1,1
2022-02-28,2,2
2022-03-07,3,3
2022-03-09,2,1
2022-03-12,2,2
2022-03-13,1,1
2022-03-14,2,2
2022-03-19,2,1
2022-03-21,1,1
2022-03-23,2,2
2022-03-28,2,2
2022-03-31,2,1
2022-04-04,2,2
2022-04-11,1,1
2022-04-16,1,1
2022-04-18,2,2
2022-04-20,2,1
2022-04-21,2,1
2022-04-25,4,4
2022-04-26,2,1
2022-05-02,1,1
2022-05-03,1,1
2022-05-09,3,3
2022-05-16,4,4
2022-05-19,1,1
2022-05-23,3,3
2022-05-29,1,1
2022-05-30,1,1
2022-06-01,3,3
2022-06-06,3,3
2022-06-08,1,1
2022-06-13,2,2
2022-06-15,1,1
2022-06-20,2,2
2022-06-22,1,1
2022-06-27,2,1
2022-06-28,1,1
2022-07-04,1,1
2022-07-09,1,1
2022-07-11,1,1
2022-07-14,1,1
2022-07-18,2,2
2022-07-25,2,2
2022-08-01,4,3
2022-08-02,9,6
2022-08-03,1,1
2022-08-08,4,3
2022-08-11,1,1
2022-08-14,25,9
2022-08-15,14,8
2022-08-20,4,3
2022-08-22,2,2
2022-08-23,1,1
2022-08-26,12,6
2022-08-29,2,2
2022-09-05,1,1
2022-09-12,1,1
2022-09-14,1,1
2022-09-16,1,1
2022-09-19,1,1
2022-09-22,1,1
2022-09-25,1,1
2022-09-26,1,1
2022-10-01,1,1
2022-10-03,1,1
2022-10-05,1,1
2022-10-07,2,1
2022-10-09,1,1
2022-10-10,1,1
2022-10-14,1,1
2022-10-17,1,1
2022-10-18,3,2
2022-10-21,1,1
2022-10-24,1,1
2022-10-25,7,5
2022-10-28,1,1
2022-10-29,1,1
2022-10-31,1,1
2022-11-07,2,2
2022-11-09,3,3
2022-11-14,1,1
2022-11-16,2,1
2022-11-20,1,1
2022-11-21,2,2
2022-11-23,2,1
2022-11-24,1,1
2022-11-28,2,2
2022-12-01,1,1
2022-12-05,1,1
2022-12-06,2,1
2022-12-07,4,2
2022-12-09,1,1
2022-12-12,2,2
2022-12-13,1,1
2022-12-20,1,1
2022-12-26,1,1
2022-12-29,7,3
2022-12-30,1,1
2023-01-02,1,1
2023-01-03,4,2
2023-01-04,5,3
2023-01-05,1,1
2023-01-08,1,1
2023-01-09,1,1
2023-01-10,2,2
2023-01-13,2,2
2023-01-15,2,2
2023-01-16,1,1
2023-01-17,1,1
2023-01-18,1,1
2023-01-23,1,1
2023-01-30,1,1
2023-01-31,2,2
2023-02-01,1,1
2023-02-03,1,1
2023-02-06,1,1
2023-02-08,1,1
2023-02-09,1,1
2023-02-11,2,1
2023-02-13,3,3
2023-02-14,1,1
2023-02-15,2,2
2023-02-16,1,1
2023-02-20,1,1
2023-02-26,2,1
2023-02-27,1,1
2023-03-01,1,1
2023-03-02,4,3
2023-03-06,2,2
2023-03-11,1,1
2023-03-13,4,3
2023-03-17,1,1
2023-03-20,1,1
2023-03-27,3,2
2023-03-28,1,1
2023-03-29,2,1
2023-03-30,1,1
2023-04-03,1,1
2023-04-10,5,3
2023-04-11,3,2
2023-04-13,1,1
2023-04-15,1,1
2023-04-21,1,1
2023-04-24,1,1
2023-05-01,3,2
2023-05-08,1,1
2023-05-15,3,2
2023-05-18,1,1
2023-05-20,2,1
2023-05-21,2,1
2023-05-22,2,2
2023-05-24,1,1
2023-05-28,1,1
2023-05-29,3,2
2023-06-05,1,1
2023-06-10,1,1
2023-06-12,3,2
2023-06-13,1,1
2023-06-15,1,1
2023-06-19,1,1
2023-06-20,1,1
2023-06-22,2,1
2023-06-23,1,1
2023-06-25,1,1
2023-06-26,1,1
2023-06-27,1,1
2023-07-03,4,3
2023-07-09,1,1
